iter	Passed	Remaining
0	123	123371
1	125	62433
2	126	42083
3	128	31873
4	129	25760
5	130	21684
6	132	18808
7	134	16670
8	135	14968
9	137	13617
10	139	12530
11	140	11592
12	142	10837
13	143	10119
14	144	9499
15	145	8951
16	146	8468
17	147	8031
18	148	7660
19	149	7305
20	149	6980
21	150	6682
22	150	6409
23	151	6157
24	151	5924
25	152	5708
26	152	5509
27	153	5325
28	153	5153
29	154	4992
30	154	4841
31	155	4699
32	155	4567
33	156	4442
34	156	4323
35	157	4211
36	157	4105
37	158	4005
38	158	3910
39	159	3819
40	159	3733
41	160	3653
42	160	3574
43	161	3502
44	161	3431
45	162	3363
46	162	3298
47	163	3236
48	163	3180
49	164	3125
50	165	3073
51	166	3030
52	166	2981
53	167	2932
54	167	2884
55	168	2838
56	168	2794
57	169	2751
58	169	2709
59	170	2668
60	170	2628
61	171	2590
62	171	2553
63	172	2518
64	172	2483
65	173	2450
66	173	2417
67	174	2385
68	174	2355
69	175	2325
70	175	2296
71	176	2269
72	176	2242
73	177	2217
74	178	2196
75	178	2171
76	179	2146
77	179	2122
78	180	2099
79	180	2076
80	181	2054
81	181	2031
82	181	2007
83	182	1986
84	182	1966
85	183	1946
86	183	1926
87	184	1907
88	184	1888
89	184	1870
90	185	1852
91	185	1834
92	186	1817
93	186	1800
94	187	1783
95	187	1768
96	188	1752
97	188	1736
98	189	1721
99	189	1706
100	190	1691
101	190	1677
102	191	1664
103	191	1650
104	192	1637
105	192	1624
106	193	1612
107	193	1600
108	194	1587
109	194	1575
110	195	1563
111	195	1551
112	196	1539
113	196	1527
114	197	1516
115	197	1504
116	197	1493
117	198	1482
118	198	1471
119	199	1460
120	199	1450
121	200	1439
122	200	1429
123	200	1419
124	201	1409
125	201	1400
126	202	1390
127	202	1381
128	203	1371
129	203	1362
130	204	1353
131	204	1345
132	204	1336
133	205	1328
134	206	1320
135	206	1313
136	207	1305
137	207	1297
138	208	1290
139	208	1282
140	209	1274
141	209	1266
142	209	1258
143	210	1250
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1215
149	213	1208
150	213	1201
151	214	1194
152	214	1188
153	215	1181
154	215	1175
155	216	1169
156	216	1162
157	216	1156
158	217	1150
159	217	1144
160	218	1137
161	218	1131
162	219	1125
163	219	1120
164	220	1114
165	220	1108
166	221	1103
167	221	1098
168	222	1093
169	222	1088
170	223	1082
171	223	1077
172	224	1072
173	224	1066
174	225	1061
175	225	1056
176	226	1051
177	226	1046
178	227	1041
179	227	1036
180	228	1031
181	228	1026
182	228	1021
183	229	1017
184	229	1012
185	230	1007
186	230	1003
187	231	998
188	231	994
189	232	989
190	232	985
191	233	981
192	233	976
193	234	972
194	234	968
195	235	964
196	235	960
197	236	956
198	236	952
199	237	948
200	237	944
201	238	940
202	238	937
203	239	933
204	239	929
205	240	925
206	240	921
207	241	917
208	241	913
209	241	910
210	242	906
211	242	902
212	243	899
213	243	895
214	244	891
215	244	888
216	245	884
217	245	881
218	246	877
219	246	873
220	246	870
221	247	867
222	247	863
223	248	860
224	248	856
225	249	853
226	249	850
227	250	846
228	250	843
229	251	841
230	251	837
231	252	834
232	252	831
233	253	828
234	253	825
235	254	822
236	254	819
237	254	816
238	255	813
239	255	810
240	256	807
241	256	804
242	257	801
243	257	798
244	258	795
245	258	792
246	259	789
247	259	786
248	259	783
249	260	781
250	260	778
251	261	775
252	261	772
253	262	770
254	262	767
255	263	764
256	263	761
257	264	759
258	264	756
259	264	754
260	265	751
261	266	749
262	266	747
263	267	744
264	267	742
265	268	739
266	268	737
267	269	734
268	269	732
269	269	729
270	270	727
271	270	724
272	271	722
273	271	720
274	272	717
275	272	715
276	273	712
277	273	710
278	274	708
279	274	705
280	274	703
281	275	701
282	275	698
283	276	696
284	276	694
285	277	692
286	277	689
287	278	687
288	278	685
289	279	683
290	279	680
291	280	678
292	280	677
293	281	675
294	281	673
295	282	671
296	282	669
297	283	666
298	283	664
299	284	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	648
307	287	646
308	288	644
309	288	642
310	289	640
311	289	638
312	289	636
313	290	634
314	290	632
315	291	630
316	291	628
317	292	626
318	292	624
319	293	622
320	293	621
321	294	619
322	294	617
323	294	615
324	295	613
325	296	612
326	296	610
327	296	608
328	297	606
329	297	604
330	298	603
331	298	601
332	299	599
333	299	597
334	300	595
335	300	594
336	301	592
337	301	590
338	302	588
339	302	587
340	302	585
341	303	583
342	303	581
343	304	580
344	304	578
345	305	576
346	305	575
347	306	573
348	306	571
349	306	569
350	307	568
351	307	566
352	308	564
353	308	563
354	309	561
355	309	560
356	310	558
357	310	556
358	311	555
359	311	553
360	312	552
361	312	550
362	313	549
363	313	547
364	313	546
365	314	544
366	314	543
367	315	541
368	315	540
369	316	538
370	316	536
371	317	535
372	317	534
373	318	532
374	318	530
375	319	529
376	319	527
377	319	526
378	320	524
379	320	523
380	321	522
381	321	520
382	322	519
383	322	517
384	323	516
385	323	515
386	324	513
387	324	512
388	325	510
389	325	509
390	326	508
391	326	506
392	327	505
393	327	504
394	328	502
395	328	501
396	329	499
397	329	498
398	330	497
399	330	495
400	330	494
401	331	492
402	331	491
403	332	490
404	332	488
405	333	487
406	333	486
407	334	484
408	334	483
409	334	482
410	335	480
411	335	479
412	336	478
413	336	476
414	337	475
415	337	474
416	338	472
417	338	471
418	339	470
419	339	468
420	340	467
421	340	466
422	341	465
423	341	464
424	342	463
425	342	462
426	343	460
427	343	459
428	344	458
429	345	457
430	345	456
431	346	455
432	346	453
433	347	452
434	347	451
435	348	450
436	348	449
437	349	448
438	349	447
439	350	445
440	350	444
441	351	443
442	351	442
443	352	441
444	352	440
445	353	439
446	353	437
447	354	436
448	355	435
449	355	435
450	356	434
451	357	432
452	357	431
453	358	430
454	358	429
455	359	428
456	359	427
457	360	426
458	360	425
459	361	423
460	361	422
461	362	421
462	362	420
463	363	419
464	363	418
465	364	417
466	364	416
467	365	415
468	365	414
469	366	413
470	366	412
471	367	411
472	367	409
473	368	408
474	368	407
475	369	407
476	370	406
477	371	405
478	372	404
479	372	403
480	373	402
481	373	401
482	374	400
483	375	399
484	375	398
485	376	397
486	376	397
487	377	396
488	378	395
489	378	394
490	379	393
491	379	392
492	380	391
493	380	390
494	381	389
495	381	388
496	382	387
497	382	386
498	383	384
499	383	383
500	384	383
501	385	382
502	385	381
503	386	380
504	387	379
505	387	378
506	388	377
507	388	376
508	389	375
509	389	374
510	390	373
511	390	372
512	391	371
513	391	370
514	392	369
515	392	368
516	393	367
517	393	366
518	394	365
519	394	364
520	395	363
521	395	362
522	396	361
523	396	360
524	397	359
525	397	358
526	398	357
527	399	356
528	399	355
529	400	354
530	400	353
531	401	353
532	401	352
533	402	351
534	402	350
535	403	349
536	403	348
537	404	347
538	405	346
539	405	345
540	406	344
541	406	343
542	407	342
543	407	341
544	408	340
545	408	339
546	409	338
547	409	337
548	410	337
549	410	336
550	411	335
551	411	334
552	412	333
553	412	332
554	413	331
555	414	330
556	414	329
557	415	329
558	416	328
559	416	327
560	417	326
561	417	325
562	418	324
563	419	323
564	419	323
565	420	322
566	420	321
567	421	320
568	421	319
569	422	318
570	422	317
571	423	316
572	423	315
573	424	314
574	424	314
575	425	313
576	425	312
577	426	311
578	426	310
579	427	309
580	427	308
581	428	307
582	428	306
583	429	306
584	430	305
585	431	304
586	431	303
587	432	303
588	432	302
589	433	301
590	433	300
591	434	299
592	435	298
593	435	297
594	436	296
595	436	295
596	437	294
597	437	294
598	438	293
599	438	292
600	439	291
601	439	290
602	440	289
603	440	288
604	441	287
605	441	287
606	442	286
607	442	285
608	443	284
609	443	283
610	444	282
611	444	282
612	445	281
613	446	280
614	446	279
615	447	278
616	447	277
617	448	277
618	448	276
